Date;Time;Well;OD;Sample;Clon;Replicate;Medium;Plasmid
10725;0;B1;0.097;CF13;wt;1;LB;pOXA-48
10725;10;B1;0.097;CF13;wt;1;LB;pOXA-48
10725;20;B1;0.097;CF13;wt;1;LB;pOXA-48
10725;30;B1;0.098;CF13;wt;1;LB;pOXA-48
10725;40;B1;0.098;CF13;wt;1;LB;pOXA-48
10725;50;B1;0.099;CF13;wt;1;LB;pOXA-48
10725;60;B1;0.1;CF13;wt;1;LB;pOXA-48
10725;70;B1;0.102;CF13;wt;1;LB;pOXA-48
10725;80;B1;0.104;CF13;wt;1;LB;pOXA-48
10725;90;B1;0.108;CF13;wt;1;LB;pOXA-48
10725;100;B1;0.112;CF13;wt;1;LB;pOXA-48
10725;110;B1;0.118;CF13;wt;1;LB;pOXA-48
10725;120;B1;0.126;CF13;wt;1;LB;pOXA-48
10725;130;B1;0.134;CF13;wt;1;LB;pOXA-48
10725;140;B1;0.143;CF13;wt;1;LB;pOXA-48
10725;150;B1;0.157;CF13;wt;1;LB;pOXA-48
10725;160;B1;0.172;CF13;wt;1;LB;pOXA-48
10725;170;B1;0.19;CF13;wt;1;LB;pOXA-48
10725;180;B1;0.21;CF13;wt;1;LB;pOXA-48
10725;190;B1;0.226;CF13;wt;1;LB;pOXA-48
10725;200;B1;0.239;CF13;wt;1;LB;pOXA-48
10725;210;B1;0.256;CF13;wt;1;LB;pOXA-48
10725;220;B1;0.267;CF13;wt;1;LB;pOXA-48
10725;230;B1;0.277;CF13;wt;1;LB;pOXA-48
10725;240;B1;0.284;CF13;wt;1;LB;pOXA-48
10725;250;B1;0.291;CF13;wt;1;LB;pOXA-48
10725;260;B1;0.298;CF13;wt;1;LB;pOXA-48
10725;270;B1;0.305;CF13;wt;1;LB;pOXA-48
10725;280;B1;0.31;CF13;wt;1;LB;pOXA-48
10725;290;B1;0.316;CF13;wt;1;LB;pOXA-48
10725;300;B1;0.32;CF13;wt;1;LB;pOXA-48
10725;310;B1;0.324;CF13;wt;1;LB;pOXA-48
10725;320;B1;0.325;CF13;wt;1;LB;pOXA-48
10725;330;B1;0.326;CF13;wt;1;LB;pOXA-48
10725;340;B1;0.328;CF13;wt;1;LB;pOXA-48
10725;350;B1;0.329;CF13;wt;1;LB;pOXA-48
