Time     0:09:20     0:19:20     0:29:20     0:39:20     0:49:20     0:59:20     1:09:20     1:19:20     1:29:20     1:39:20     1:49:20     1:59:20     2:09:20     2:19:20     2:29:20     2:39:20     2:49:20     2:59:20     3:09:20     3:19:20     3:29:20     3:39:20     3:49:20     3:59:20     4:09:20     4:19:20     4:29:20     4:39:20     4:49:20     4:59:20     5:09:20     5:19:20     5:29:20     5:39:20     5:49:20     5:59:20     6:09:20     6:19:20     6:29:20     6:39:20     6:49:20     6:59:20     7:09:20     7:19:20     7:29:20     7:39:20     7:49:20     7:59:20     8:09:20     8:19:20     8:29:20     8:39:20     8:49:20     8:59:20     9:09:20     9:19:20     9:29:20     9:39:20     9:49:20     9:59:20     10:09:20     10:19:20     10:29:20     10:39:20     10:49:20     10:59:20     11:09:20     11:19:20     11:29:20     11:39:20     11:49:20     11:59:20     12:09:20     12:19:20     12:29:20     12:39:20     12:49:20     12:59:20     13:09:20     13:19:20     13:29:20     13:39:20     13:49:20     13:59:20     14:09:20     14:19:20     14:29:20     14:39:20     14:49:20     14:59:20     15:09:20     15:19:20     15:29:20     15:39:20     15:49:20     15:59:20     16:09:20     16:19:20     16:29:20     16:39:20     16:49:20     16:59:20     17:09:20     17:19:20     17:29:20     17:39:20     17:49:20     17:59:20     18:09:20     18:19:20     18:29:20     18:39:20     18:49:20     18:59:20     19:09:20     19:19:20     19:29:20     19:39:20     19:49:20     19:59:20     20:09:20     20:19:20     20:29:20     20:39:20     20:49:20     20:59:20     21:09:20     21:19:20     21:29:20     21:39:20     21:49:20     21:59:20     22:09:20     22:19:20     22:29:20     22:39:20     22:49:20     22:59:20     23:09:20     23:19:20     23:29:20     23:39:20     23:49:20     23:59:20     24:09:20
I10     0,107     0,11     0,116     0,127     0,149     0,162     0,185     0,204     0,23     0,26     0,276     0,3     0,32     0,328     0,337     0,344     0,355     0,366     0,376     0,386     0,401     0,414     0,427     0,439     0,455     0,47     0,487     0,508     0,536     0,572     0,602     0,623     0,644     0,663     0,679     0,694     0,706     0,716     0,728     0,74     0,752     0,763     0,774     0,786     0,795     0,805     0,815     0,824     0,833     0,843     0,852     0,861     0,87     0,878     0,885     0,892     0,901     0,906     0,913     0,92     0,926     0,931     0,936     0,943     0,95     0,955     0,96     0,965     0,971     0,975     0,979     0,983     0,988     0,992     0,997     0,999     1,002     1,006     1,009     1,012     1,015     1,017     1,02     1,02     1,022     1,023     1,024     1,024     1,026     1,028     1,03     1,03     1,03     1,03     1,031     1,032     1,031     1,031     1,031     1,032     1,03     1,032     1,032     1,032     1,032     1,033     1,032     1,032     1,032     1,033     1,032     1,032     1,032     1,033     1,033     1,033     1,034     1,034     1,034     1,034     1,036     1,036     1,036     1,035     1,037     1,038     1,037     1,038     1,038     1,041     1,04     1,042     1,044     1,046     1,046     1,046     1,048     1,048     1,05     1,05     1,053     1,055     1,057     1,057     1,058
I12     0,121     0,126     0,134     0,148     0,164     0,183     0,206     0,234     0,265     0,295     0,319     0,339     0,344     0,347     0,352     0,356     0,358     0,363     0,367     0,37     0,374     0,375     0,38     0,385     0,392     0,399     0,423     0,471     0,511     0,541     0,56     0,58     0,597     0,613     0,625     0,637     0,648     0,658     0,67     0,68     0,691     0,701     0,712     0,722     0,733     0,743     0,753     0,763     0,772     0,781     0,791     0,799     0,808     0,815     0,823     0,83     0,838     0,845     0,852     0,859     0,866     0,873     0,878     0,885     0,892     0,898     0,905     0,912     0,918     0,924     0,931     0,936     0,941     0,947     0,951     0,956     0,96     0,964     0,968     0,971     0,974     0,977     0,98     0,981     0,984     0,986     0,987     0,988     0,99     0,991     0,993     0,994     0,995     0,995     0,997     0,998     0,999     0,999     0,998     0,998     0,999     1     1     1     1     0,999     1     0,999     0,999     1     1     0,999     0,999     0,999     0,999     1     1     1     1     1,001     1,001     1,001     1,001     1,002     1,003     1,004     1,004     1,004     1,004     1,007     1,005     1,006     1,008     1,008     1,008     1,009     1,009     1,01     1,012     1,011     1,012     1,014     1,014     1,014     1,015
I6     0,127     0,126     0,133     0,145     0,158     0,175     0,195     0,216     0,242     0,269     0,303     0,316     0,335     0,355     0,372     0,386     0,405     0,423     0,436     0,442     0,446     0,454     0,46     0,47     0,481     0,496     0,519     0,536     0,564     0,572     0,582     0,592     0,603     0,612     0,622     0,631     0,642     0,65     0,659     0,669     0,678     0,688     0,697     0,708     0,718     0,728     0,737     0,747     0,757     0,765     0,776     0,786     0,795     0,805     0,812     0,821     0,829     0,836     0,843     0,852     0,861     0,869     0,876     0,882     0,889     0,897     0,903     0,91     0,915     0,921     0,926     0,931     0,936     0,943     0,949     0,952     0,958     0,962     0,966     0,969     0,974     0,977     0,979     0,981     0,985     0,987     0,989     0,99     0,993     0,994     0,994     0,994     0,996     0,998     0,998     0,998     0,998     1     1     0,999     1,001     1     0,999     1     1     0,999     0,999     1     0,999     0,999     1     0,999     1     0,999     0,999     0,999     0,999     1     0,998     0,999     1     1     1,001     1,001     1,001     1,002     1,003     1,003     1,004     1,004     1,007     1,007     1,008     1,009     1,01     1,012     1,013     1,013     1,015     1,017     1,018     1,019     1,021     1,023     1,024
I8     0,107     0,099     0,103     0,108     0,115     0,128     0,139     0,155     0,172     0,19     0,214     0,239     0,264     0,278     0,286     0,294     0,303     0,312     0,32     0,327     0,334     0,343     0,351     0,36     0,367     0,375     0,388     0,398     0,414     0,441     0,462     0,481     0,511     0,534     0,553     0,57     0,583     0,595     0,608     0,618     0,629     0,641     0,65     0,662     0,672     0,682     0,691     0,701     0,711     0,72     0,73     0,738     0,747     0,757     0,766     0,774     0,783     0,789     0,798     0,804     0,813     0,82     0,826     0,834     0,841     0,847     0,853     0,86     0,866     0,872     0,88     0,884     0,888     0,895     0,9     0,904     0,908     0,914     0,918     0,922     0,925     0,928     0,932     0,933     0,936     0,937     0,939     0,94     0,943     0,943     0,945     0,946     0,947     0,95     0,95     0,95     0,951     0,952     0,953     0,952     0,952     0,954     0,954     0,954     0,954     0,954     0,954     0,953     0,953     0,955     0,955     0,954     0,954     0,955     0,956     0,956     0,956     0,956     0,957     0,957     0,958     0,958     0,958     0,959     0,96     0,961     0,961     0,962     0,962     0,965     0,964     0,965     0,968     0,969     0,969     0,97     0,971     0,971     0,974     0,974     0,976     0,978     0,981     0,981     0,983
J1     0,12     0,118     0,123     0,133     0,15     0,161     0,178     0,213     0,222     0,248     0,275     0,294     0,303     0,311     0,321     0,328     0,338     0,346     0,354     0,363     0,38     0,393     0,407     0,418     0,428     0,455     0,486     0,511     0,53     0,551     0,568     0,586     0,599     0,612     0,624     0,633     0,644     0,653     0,661     0,67     0,679     0,688     0,695     0,704     0,711     0,719     0,727     0,736     0,743     0,751     0,762     0,769     0,777     0,784     0,792     0,8     0,808     0,815     0,822     0,829     0,836     0,841     0,848     0,855     0,862     0,868     0,874     0,88     0,884     0,89     0,897     0,903     0,906     0,912     0,917     0,923     0,927     0,931     0,935     0,938     0,941     0,944     0,946     0,949     0,952     0,954     0,957     0,957     0,96     0,961     0,964     0,964     0,965     0,967     0,968     0,969     0,97     0,97     0,971     0,973     0,972     0,974     0,974     0,974     0,975     0,975     0,975     0,974     0,974     0,975     0,975     0,975     0,975     0,974     0,974     0,974     0,973     0,973     0,973     0,972     0,972     0,971     0,971     0,972     0,971     0,971     0,971     0,969     0,97     0,968     0,969     0,969     0,97     0,971     0,97     0,97     0,97     0,97     0,971     0,97     0,969     0,97     0,969     0,968     0,968
K10     0,119     0,118     0,122     0,133     0,15     0,167     0,184     0,204     0,23     0,258     0,287     0,303     0,315     0,328     0,342     0,354     0,367     0,378     0,386     0,396     0,405     0,409     0,424     0,433     0,448     0,466     0,48     0,502     0,524     0,549     0,574     0,594     0,613     0,628     0,641     0,653     0,666     0,678     0,691     0,702     0,716     0,726     0,739     0,75     0,76     0,772     0,782     0,792     0,802     0,812     0,821     0,83     0,839     0,848     0,855     0,863     0,871     0,877     0,886     0,893     0,9     0,907     0,913     0,921     0,929     0,934     0,942     0,948     0,954     0,96     0,966     0,97     0,976     0,98     0,983     0,985     0,989     0,993     0,995     0,999     1,001     1,004     1,006     1,007     1,009     1,011     1,012     1,013     1,014     1,016     1,018     1,018     1,018     1,02     1,021     1,022     1,024     1,023     1,023     1,022     1,022     1,023     1,022     1,022     1,021     1,021     1,022     1,021     1,022     1,022     1,021     1,02     1,02     1,021     1,02     1,021     1,02     1,02     1,02     1,02     1,02     1,019     1,02     1,02     1,021     1,02     1,021     1,021     1,022     1,023     1,022     1,023     1,023     1,023     1,023     1,022     1,024     1,025     1,024     1,024     1,025     1,026     1,026     1,025     1,025
K12     0,098     0,099     0,102     0,106     0,114     0,124     0,137     0,15     0,163     0,18     0,204     0,227     0,246     0,257     0,265     0,276     0,283     0,296     0,307     0,323     0,338     0,361     0,383     0,413     0,449     0,482     0,494     0,51     0,525     0,545     0,568     0,588     0,603     0,615     0,625     0,636     0,648     0,658     0,672     0,683     0,697     0,707     0,72     0,732     0,743     0,754     0,766     0,776     0,787     0,796     0,806     0,817     0,826     0,835     0,844     0,853     0,862     0,87     0,878     0,885     0,893     0,9     0,905     0,914     0,922     0,927     0,934     0,94     0,946     0,951     0,958     0,963     0,966     0,971     0,975     0,978     0,982     0,986     0,989     0,992     0,994     0,996     0,998     0,999     1,001     1,003     1,003     1,004     1,006     1,007     1,008     1,008     1,009     1,01     1,011     1,011     1,01     1,01     1,009     1,01     1,009     1,009     1,009     1,009     1,008     1,007     1,006     1,006     1,005     1,004     1,004     1,004     1,003     1,004     1,003     1,002     1,004     1,002     1,003     1,004     1,003     1,003     1,002     1,001     1,003     1,002     1,001     1,001     1,001     1,004     1,003     1,002     1,005     1,004     1,003     1,004     1,004     1,006     1,004     1,005     1,005     1,007     1,006     1,006     1,006
K4     0,112     0,109     0,111     0,117     0,13     0,142     0,156     0,171     0,189     0,213     0,239     0,264     0,284     0,296     0,308     0,317     0,326     0,336     0,346     0,355     0,362     0,372     0,383     0,397     0,417     0,461     0,501     0,525     0,54     0,558     0,574     0,59     0,605     0,62     0,632     0,642     0,655     0,665     0,678     0,689     0,701     0,713     0,725     0,736     0,748     0,76     0,77     0,781     0,791     0,802     0,812     0,823     0,832     0,841     0,85     0,86     0,868     0,875     0,884     0,892     0,899     0,907     0,914     0,922     0,929     0,936     0,942     0,949     0,955     0,961     0,968     0,974     0,979     0,984     0,989     0,993     0,997     1     1,004     1,008     1,011     1,015     1,017     1,018     1,02     1,022     1,023     1,025     1,026     1,027     1,028     1,028     1,03     1,032     1,032     1,033     1,034     1,035     1,035     1,036     1,036     1,037     1,037     1,037     1,037     1,037     1,037     1,037     1,037     1,036     1,036     1,036     1,036     1,036     1,036     1,035     1,034     1,034     1,034     1,034     1,034     1,033     1,033     1,033     1,033     1,033     1,034     1,033     1,033     1,034     1,035     1,034     1,036     1,037     1,036     1,036     1,036     1,038     1,039     1,038     1,036     1,038     1,039     1,039     1,04
K6     0,108     0,11     0,115     0,125     0,137     0,152     0,174     0,189     0,209     0,23     0,253     0,276     0,286     0,297     0,306     0,317     0,325     0,335     0,344     0,352     0,36     0,367     0,375     0,386     0,395     0,407     0,431     0,471     0,526     0,563     0,589     0,613     0,633     0,65     0,665     0,679     0,691     0,703     0,716     0,727     0,739     0,751     0,761     0,773     0,787     0,797     0,807     0,819     0,83     0,84     0,851     0,861     0,87     0,88     0,889     0,898     0,908     0,916     0,926     0,934     0,942     0,95     0,958     0,965     0,974     0,981     0,989     0,996     1,002     1,008     1,014     1,02     1,025     1,031     1,036     1,04     1,044     1,047     1,052     1,056     1,06     1,062     1,064     1,067     1,07     1,072     1,074     1,075     1,077     1,079     1,081     1,081     1,083     1,083     1,084     1,085     1,085     1,084     1,085     1,086     1,085     1,085     1,085     1,085     1,084     1,083     1,083     1,082     1,081     1,08     1,08     1,079     1,079     1,079     1,077     1,077     1,076     1,076     1,075     1,076     1,075     1,075     1,075     1,073     1,072     1,071     1,071     1,071     1,07     1,07     1,068     1,069     1,067     1,067     1,068     1,069     1,068     1,069     1,069     1,069     1,069     1,068     1,069     1,07     1,07
K8     0,119     0,117     0,121     0,133     0,145     0,162     0,179     0,198     0,221     0,248     0,274     0,296     0,306     0,313     0,317     0,321     0,327     0,334     0,341     0,349     0,357     0,364     0,373     0,384     0,401     0,416     0,445     0,477     0,51     0,538     0,567     0,587     0,601     0,616     0,627     0,64     0,652     0,661     0,672     0,682     0,693     0,703     0,715     0,725     0,733     0,745     0,755     0,764     0,773     0,783     0,791     0,801     0,809     0,817     0,825     0,834     0,842     0,849     0,857     0,864     0,872     0,879     0,884     0,893     0,9     0,907     0,914     0,922     0,928     0,934     0,941     0,947     0,952     0,958     0,963     0,967     0,972     0,976     0,979     0,984     0,987     0,991     0,993     0,995     0,999     1,001     1,002     1,003     1,006     1,007     1,009     1,01     1,011     1,013     1,014     1,016     1,014     1,015     1,015     1,016     1,016     1,016     1,016     1,016     1,016     1,016     1,016     1,016     1,015     1,016     1,016     1,016     1,015     1,016     1,016     1,017     1,017     1,015     1,015     1,015     1,015     1,014     1,013     1,014     1,013     1,013     1,012     1,013     1,013     1,012     1,014     1,013     1,013     1,014     1,014     1,014     1,014     1,015     1,016     1,014     1,015     1,015     1,016     1,016     1,016
